# uTCA QIE11
# RM 1
#  i     cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
420075C  41   4   u   0      0         2           0          HE     16    11     1
420075C  41   4   u   0      0         2           1          HE     23     5     1
420075C  41   4   u   0      0         2           2          HE     18     5     2
420075C  41   4   u   0      0         2           3          HE     16     5     2
420075C  41   4   u   0      0         2           4          HE     16    11     2
420075C  41   4   u   0      0         2           5          HE     25     5     7

420075C  41   4   u   0      0         3           0          HE     20     5     3
420075C  41   4   u   0      0         3           1          HE     21     5     2
420075C  41   4   u   0      0         3           2          HE     25     5     2
420075C  41   4   u   0      0         3           3          HE     17    11     1
420075C  41   4   u   0      0         3           4          HE     17     5     2
420075C  41   4   u   0      0         3           5          HE     25     5     1

420075C  41   4   u   0      0         4           0          HE     25     5     3
420075C  41   4   u   0      0         4           1          HE     21     5     3
420075C  41   4   u   0      0         4           2          HE     25     5     6
420075C  41   4   u   0      0         4           3          HE     25     5     5
420075C  41   4   u   0      0         4           4          HE     23     5     2
420075C  41   4   u   0      0         4           5          HE     21     5     6

420075C  41   4   u   0      0         5           0          HE     21     5     1
420075C  41   4   u   0      0         5           1          HE     23     5     5
420075C  41   4   u   0      0         5           2          HE     23     5     6
420075C  41   4   u   0      0         5           3          HE     18     5     3
420075C  41   4   u   0      0         5           4          HE     23     5     3
420075C  41   4   u   0      0         5           5          HE     23     5     7

420075C  41   4   u   0      0         6           0          HE     19     5     3
420075C  41   4   u   0      0         6           1          HE     21     5     5
420075C  41   4   u   0      0         6           2          HE     19     5     6
420075C  41   4   u   0      0         6           3          HE     17     5     3
420075C  41   4   u   0      0         6           4          HE     19     5     5
420075C  41   4   u   0      0         6           5          HE     23     5     4

420075C  41   4   u   0      0         7           0          HE     21     5     4
420075C  41   4   u   0      0         7           1          HE     18     5     5
420075C  41   4   u   0      0         7           2          HE     18     5     6
420075C  41   4   u   0      0         7           3          HE     25     5     4
420075C  41   4   u   0      0         7           4          HE     20     5     5
420075C  41   4   u   0      0         7           5          HE     20     5     6

420075C  41   4   u   0      0         8           0          HE     20     5     2
420075C  41   4   u   0      0         8           1          HE     20     5     4
420075C  41   4   u   0      0         8           2          HE     16     5     3
420075C  41   4   u   0      0         8           3          HE     18     5     4
420075C  41   4   u   0      0         8           4          HE     20     5     1
420075C  41   4   u   0      0         8           5          HE     18     5     1

420075C  41   4   u   0      0         9           0          HE     17    11     3
420075C  41   4   u   0      0         9           1          HE     19     5     1
420075C  41   4   u   0      0         9           2          HE     17     5     4
420075C  41   4   u   0      0         9           3          HE     17     5     5
420075C  41   4   u   0      0         9           4          HE     19     5     4
420075C  41   4   u   0      0         9           5          HE     19     5     2

