# uTCA QIE11
# RM 3
#  i     cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
6666666  41   5   u   0      0         3           5          HE     23     8     1
6666666  41   5   u   0      0         2           5          HE     23     8     2
6666666  41   5   u   0      0         2           4          HE     23     8     3
6666666  41   5   u   0      0         9           2          HE     23     8     4
6666666  41   5   u   0      0         9           3          HE     23     8     5 
6666666  41   5   u   0      0         2           0          HE     23     8     6 
6666666  41   5   u   0      0         3           2          HE     23     8     7 

6666666  41   5   u   0      0         2           2          HE     24     8     4 
6666666  41   5   u   0      0         2           1          HE     24     8     5
6666666  41   5   u   0      0         4           4          HE     24     8     6 
6666666  41   5   u   0      0         7           0          HE     24     8     7 
6666666  41   5   u   0      0         3           3          HE     24     8     8 
6666666  41   5   u   0      0         3           4          HE     24     8     9 

6666666  41   5   u   0      0         8           2          HE     25     8     4 
6666666  41   5   u   0      0         8           1          HE     25     8     5 
6666666  41   5   u   0      0         8           0          HE     25     8     6 

